ID,Model,Task,Method,Shot,Compare,OR,p_value
1,qwen2.5-14b,python,zero,0-shot,BASE vs STRUCT,0.462,0.14561
2,qwen2.5-14b,python,zero,0-shot,BASE vs SELFC,0.467,0.11752
3,qwen2.5-14b,python,zero,0-shot,BASE vs REASONING,0.6,0.28642
4,qwen2.5-14b,python,zero,0-shot,BASE vs DOMAIN,0.692,0.50233
1,gpt-20b,python,naive,3-shot,BASE vs STRUCT,0.75,0.77283
2,gpt-20b,python,naive,3-shot,BASE vs SELFC,0.5,0.26726
3,gpt-20b,python,naive,3-shot,BASE vs REASONING,0.188,0.00361
4,gpt-20b,python,naive,3-shot,BASE vs DOMAIN,0.308,0.03887
1,qwen2.5-32b,python,naive,3-shot,BASE vs STRUCT,0.667,0.5791
2,qwen2.5-32b,python,naive,3-shot,BASE vs SELFC,0.6,0.42268
3,qwen2.5-32b,python,naive,3-shot,BASE vs REASONING,1.333,0.77283
4,qwen2.5-32b,python,naive,3-shot,BASE vs DOMAIN,1.125,1.0
1,qwen2.5-14b,python,naive,3-shot,BASE vs STRUCT,1.25,1.0
2,qwen2.5-14b,python,naive,3-shot,BASE vs SELFC,1.167,1.0
3,qwen2.5-14b,python,naive,3-shot,BASE vs REASONING,0.875,1.0
4,qwen2.5-14b,python,naive,3-shot,BASE vs DOMAIN,1.571,0.45325
1,gpt-20b,python,zero,0-shot,BASE vs STRUCT,0.158,0.0008
2,gpt-20b,python,zero,0-shot,BASE vs SELFC,0.167,0.00132
3,gpt-20b,python,zero,0-shot,BASE vs REASONING,0.235,0.00591
4,gpt-20b,python,zero,0-shot,BASE vs DOMAIN,0.333,0.06137
1,qwen2.5-7b,python,zero,0-shot,BASE vs STRUCT,0.357,0.05235
2,qwen2.5-7b,python,zero,0-shot,BASE vs SELFC,0.636,0.45325
3,qwen2.5-7b,python,zero,0-shot,BASE vs REASONING,0.286,0.02445
4,qwen2.5-7b,python,zero,0-shot,BASE vs DOMAIN,0.5,0.16867
1,qwen2.5-3b,python,zero,0-shot,BASE vs STRUCT,0.8,0.80259
2,qwen2.5-3b,python,zero,0-shot,BASE vs SELFC,1.0,0.78927
3,qwen2.5-3b,python,zero,0-shot,BASE vs REASONING,1.125,1.0
4,qwen2.5-3b,python,zero,0-shot,BASE vs DOMAIN,0.75,0.77283
1,qwen2.5-7b,python,retrieval,3-shot,BASE vs STRUCT,0.833,1.0
2,qwen2.5-7b,python,retrieval,3-shot,BASE vs SELFC,1.8,0.38648
3,qwen2.5-7b,python,retrieval,3-shot,BASE vs REASONING,1.125,1.0
4,qwen2.5-7b,python,retrieval,3-shot,BASE vs DOMAIN,1.375,0.62763
1,qwen2.5-1.5b,python,zero,0-shot,BASE vs STRUCT,1.25,0.80259
2,qwen2.5-1.5b,python,zero,0-shot,BASE vs SELFC,1.0,0.81366
3,qwen2.5-1.5b,python,zero,0-shot,BASE vs REASONING,1.3,0.66252
4,qwen2.5-1.5b,python,zero,0-shot,BASE vs DOMAIN,1.222,0.81366
1,qwen2.5-32b,python,zero,0-shot,BASE vs STRUCT,1.091,1.0
2,qwen2.5-32b,python,zero,0-shot,BASE vs SELFC,1.111,1.0
3,qwen2.5-32b,python,zero,0-shot,BASE vs REASONING,1.2,0.82306
4,qwen2.5-32b,python,zero,0-shot,BASE vs DOMAIN,1.6,0.30743
1,gpt-20b,python,retrieval,3-shot,BASE vs STRUCT,0.5,0.2113
2,gpt-20b,python,retrieval,3-shot,BASE vs SELFC,0.417,0.12134
3,gpt-20b,python,retrieval,3-shot,BASE vs REASONING,0.429,0.09896
4,gpt-20b,python,retrieval,3-shot,BASE vs DOMAIN,0.818,0.81366
1,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs STRUCT,1.667,0.68309
2,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs SELFC,1.5,0.72367
3,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs REASONING,3.0,0.22067
4,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs DOMAIN,2.0,0.34278
1,qwen2.5-3b,python,naive,3-shot,BASE vs STRUCT,1.167,1.0
2,qwen2.5-3b,python,naive,3-shot,BASE vs SELFC,1.0,0.75183
3,qwen2.5-3b,python,naive,3-shot,BASE vs REASONING,1.0,0.77283
4,qwen2.5-3b,python,naive,3-shot,BASE vs DOMAIN,1.25,0.80259
1,qwen2.5-7b,python,naive,3-shot,BASE vs STRUCT,1.0,0.68309
2,qwen2.5-7b,python,naive,3-shot,BASE vs SELFC,0.75,0.77283
3,qwen2.5-7b,python,naive,3-shot,BASE vs REASONING,0.545,0.3017
4,qwen2.5-7b,python,naive,3-shot,BASE vs DOMAIN,0.5,0.2113
1,qwen2.5-32b,python,retrieval,3-shot,BASE vs STRUCT,0.889,1.0
2,qwen2.5-32b,python,retrieval,3-shot,BASE vs SELFC,0.625,0.30743
3,qwen2.5-32b,python,retrieval,3-shot,BASE vs REASONING,0.933,1.0
4,qwen2.5-32b,python,retrieval,3-shot,BASE vs DOMAIN,0.867,0.84452
1,qwen2.5-14b,python,retrieval,3-shot,BASE vs STRUCT,0.625,0.54649
2,qwen2.5-14b,python,retrieval,3-shot,BASE vs SELFC,1.167,1.0
3,qwen2.5-14b,python,retrieval,3-shot,BASE vs REASONING,1.429,0.60558
4,qwen2.5-14b,python,retrieval,3-shot,BASE vs DOMAIN,1.667,0.42268
1,qwen2.5-1.5b,python,naive,3-shot,BASE vs STRUCT,0.714,0.75183
2,qwen2.5-1.5b,python,naive,3-shot,BASE vs SELFC,1.0,0.77283
3,qwen2.5-1.5b,python,naive,3-shot,BASE vs REASONING,0.714,0.75183
4,qwen2.5-1.5b,python,naive,3-shot,BASE vs DOMAIN,1.0,0.77283
1,qwen2.5-3b,python,retrieval,3-shot,BASE vs STRUCT,2.2,0.18145
2,qwen2.5-3b,python,retrieval,3-shot,BASE vs SELFC,1.375,0.62763
3,qwen2.5-3b,python,retrieval,3-shot,BASE vs REASONING,1.375,0.62763
4,qwen2.5-3b,python,retrieval,3-shot,BASE vs DOMAIN,1.571,0.45325
