model,task,method,shot,pass@1,pass@1_40,pass@1_185,pass@1_294,pass@1_480,pass@1_638
gpt-20b,python,naive,3-shot,pass@1,31,33,36,44,40
gpt-20b,python,retrieval,3-shot,pass@1,29,35,36,37,31
gpt-20b,python,zero,0-shot,pass@1,23,39,38,36,31
qwen2.5-1.5b,python,naive,3-shot,pass@1,46,48,46,48,46
qwen2.5-1.5b,python,retrieval,3-shot,pass@1,42,40,40,38,38
qwen2.5-1.5b,python,zero,0-shot,pass@1,45,43,45,42,43
qwen2.5-14b,python,naive,3-shot,pass@1,56,55,55,57,52
qwen2.5-14b,python,retrieval,3-shot,pass@1,58,61,57,55,54
qwen2.5-14b,python,zero,0-shot,pass@1,50,57,58,56,54
qwen2.5-32b,python,naive,3-shot,pass@1,53,56,57,51,52
qwen2.5-32b,python,retrieval,3-shot,pass@1,57,58,63,58,59
qwen2.5-32b,python,zero,0-shot,pass@1,56,55,55,54,50
qwen2.5-3b,python,naive,3-shot,pass@1,42,41,42,42,40
qwen2.5-3b,python,retrieval,3-shot,pass@1,50,44,47,47,46
qwen2.5-3b,python,zero,0-shot,pass@1,47,49,47,46,49
qwen2.5-7b,python,naive,3-shot,pass@1,49,49,51,54,55
qwen2.5-7b,python,retrieval,3-shot,pass@1,54,55,50,53,51
qwen2.5-7b,python,zero,0-shot,pass@1,44,53,48,54,51
